PLAYER,TEAM,GP,transition_POSS,transition_FREQ,transition_PPP,transition_PTS,transition_FGM,transition_FGA,transition_FG%,transition_EFG%,transition_FTFREQ,transition_TOVFREQ,transition_SFFREQ,transition_AND ONEFREQ,transition_SCOREFREQ,transition_PERCENTILE
Garrison Mathews,HOU,65,1.4,15.90%,1.15,1.6,0.4,1,42.40%,53.00%,20.20%,9.00%,18.00%,3.40%,48.30%,53.7
Jonas Valanciunas,NOP,74,1.1,6.70%,1.22,1.4,0.5,1,54.20%,64.60%,7.20%,9.60%,7.20%,3.60%,50.60%,68.9
Lonzo Ball,CHI,35,2.9,21.10%,1,2.9,1.1,2,53.60%,66.70%,8.00%,26.00%,7.00%,3.00%,41.00%,25.8
Matisse Thybulle,PHI,66,1.2,22.50%,1.24,1.5,0.6,1,64.60%,67.70%,8.80%,11.30%,8.80%,1.30%,60.00%,72.7
Naji Marshall,NOP,55,1.6,25.10%,1.11,1.8,0.6,1,58.90%,60.70%,23.60%,14.60%,19.10%,1.10%,59.60%,48.5
Chris Paul,PHX,65,1.5,9.80%,1.03,1.5,0.6,1.1,57.70%,68.30%,1.10%,25.30%,1.10%,1.10%,43.20%,32.5
Deni Avdija,WAS,82,1.2,13.80%,0.98,1.2,0.5,0.9,52.00%,56.70%,12.00%,15.00%,9.00%,2.00%,47.00%,24.2
Duane Washington Jr.,IND,48,2.1,19.80%,0.97,2,0.8,1.7,45.00%,53.80%,9.90%,12.90%,8.90%,2.00%,43.60%,22.8
Montrezl Harrell,WAS,46,1.4,12.50%,1.49,2.1,0.8,1.1,78.00%,79.00%,26.20%,6.20%,21.50%,9.20%,75.40%,95
Landry Shamet,PHX,69,1.4,18.00%,0.97,1.4,0.5,1.3,38.60%,48.30%,6.00%,6.00%,6.00%,1.00%,39.00%,22.6
CJ McCollum,POR,36,2.9,13.80%,0.91,2.7,1.1,2.4,43.70%,48.90%,7.60%,10.50%,6.70%,1.00%,41.90%,16.4
Tre Mann,OKC,60,1.2,10.40%,1.31,1.6,0.5,0.9,52.70%,63.60%,20.80%,5.60%,19.40%,2.80%,56.90%,80.6
Malcolm Brogdon,IND,36,2.6,13.70%,1,2.6,1,2.2,45.60%,51.30%,9.60%,7.40%,6.40%,1.10%,45.70%,25.8
Clint Capela,ATL,74,0.9,9.60%,1.35,1.3,0.6,0.8,77.20%,77.20%,14.50%,10.10%,14.50%,7.20%,68.10%,86
Rui Hachimura,WAS,42,1.7,16.50%,1.26,2.2,0.9,1.5,58.10%,68.50%,6.80%,9.60%,6.80%,1.40%,54.80%,76.8
Rudy Gobert,UTA,66,0.9,7.20%,1.5,1.4,0.5,0.6,86.80%,86.80%,31.70%,8.30%,31.70%,3.30%,81.70%,95.8
Nikola Vucevic,CHI,73,1.1,6.00%,1.11,1.2,0.5,1,46.50%,56.30%,8.60%,4.90%,7.40%,1.20%,46.90%,48
Killian Hayes,DET,66,1.6,17.90%,0.83,1.4,0.5,1.2,44.70%,47.40%,11.10%,19.40%,8.30%,0.90%,41.70%,8.8
Domantas Sabonis,IND,47,1.5,8.50%,1.25,1.9,0.7,1,68.80%,69.80%,16.90%,16.90%,15.50%,1.40%,62.00%,75.8
Avery Bradley,LAL,62,1.4,21.30%,1.06,1.4,0.5,1.2,40.80%,56.60%,2.40%,7.10%,1.20%,0.00%,39.30%,37.9
Shake Milton,PHI,55,1.3,15.40%,1.21,1.6,0.6,1.1,55.00%,62.50%,15.10%,8.20%,13.70%,5.50%,54.80%,66.1
Bryn Forbes,SAS,40,1.9,21.30%,1.19,2.2,0.7,1.6,44.60%,60.80%,5.40%,6.80%,5.40%,0.00%,44.60%,62.2
Chimezie Metu,SAC,61,1.3,14.50%,1.1,1.4,0.6,1.1,54.50%,60.60%,8.80%,11.30%,8.80%,2.50%,51.30%,45.9
Moritz Wagner,ORL,63,0.9,11.00%,1.55,1.4,0.5,0.8,64.70%,80.40%,5.40%,5.40%,5.40%,1.80%,62.50%,97
Terence Davis,SAC,30,2.5,24.10%,1.15,2.9,1.1,1.9,58.60%,62.90%,14.50%,14.50%,11.80%,5.30%,53.90%,52.9
Tre Jones,SAS,69,1.2,19.00%,1.09,1.3,0.5,0.9,52.30%,52.30%,15.00%,7.50%,12.50%,3.80%,53.80%,43.7
Georges Niang,PHI,76,1.2,14.50%,0.94,1.1,0.4,1,42.30%,51.30%,5.40%,11.80%,5.40%,1.10%,39.80%,18.9
Cameron Payne,PHX,58,1.7,13.90%,0.86,1.5,0.6,1.4,40.00%,50.00%,5.90%,17.80%,5.00%,3.00%,34.70%,11.2
