Player,Age,zero,one,two,three,four,five,Signed,Guaranteed,Team 
Jerami Grant,28,"$20,002,500","$20,955,000",,,,,Sign and Trade,"$40,957,500",Pistons
Kelly Olynyk,31,"$12,195,122","$12,804,878","$12,195,122",,,,Cap Space,"$28,000,000",Pistons
Marvin Bagley III,23,"$11,312,114",,,,,,1st Round Pick,"$11,312,114",Pistons
Cade Cunningham,20,"$10,050,120","$10,552,800","$11,055,240","$13,940,658",,,1st Round Pick,"$20,602,920",Pistons
Killian Hayes,20,"$5,572,680","$5,837,760","$7,413,955",,,,1st Round Pick,"$11,410,440",Pistons
Hamidou Diallo,23,"$5,200,000","$5,200,000",,,,,Bird,"$10,400,000",Pistons
Cory Joseph,30,"$4,910,000","$5,155,000",,,,,Room Exception,"$12,465,000",Pistons
Isaiah Stewart,21,"$3,277,080","$3,433,320","$5,266,713",,,,1st Round Pick,"$6,710,400",Pistons
Frank Jackson,24,"$3,000,000","$3,150,000",,,,,Cap Space,"$3,000,000",Pistons
Saddiq Bey,23,"$2,824,320","$2,959,080","$4,556,983",,,,1st Round Pick,"$5,783,400",Pistons
Rodney McGruder,30,"$1,939,350",,,,,,Minimum Salary,"$1,939,350",Pistons
Saben Lee,23,"$1,489,065","$1,752,638","$1,902,137",,,,Cap Space,"$3,241,703",Pistons
Isaiah Livers,23,"$1,057,260","$1,563,518","$1,836,096",,,,Cap Space,"$2,620,778",Pistons
Luka Garza,23,"$925,258",,,,,,Minimum Salary,"$925,258",Pistons
Carsen Edwards,24,"$76,744","$1,815,677",,,,,Minimum Salary,"$76,744",Pistons
Braxton Key,25,,,,,,,Two-Way Contract,"$53,176",Pistons
Jamorko Pickett,24,,,,,,,Two-Way Contract,,Pistons
Blake Griffin,33,"$29,764,126",,,,,,,"$29,764,126",Pistons
DeAndre Jordan,33,"$7,875,533","$7,827,907",,,,,,"$15,703,440",Pistons
Dewayne Dedmon,32,"$2,866,667","$2,866,667","$2,866,667","$2,866,667",,,,"$11,466,668",Pistons
Nikola Jokić,27,"$30,510,423","$32,478,837",,,,,Bird Rights,"$62,989,260",Nuggets
Jamal Murray,25,"$29,467,800","$31,650,600","$33,833,400","$36,016,200",,,1st Round pick,"$130,968,000",Nuggets
Aaron Gordon,26,"$16,409,091","$19,690,909","$21,266,182","$22,841,455","$22,841,455",,Bird Rights,"$80,207,637",Nuggets
Will Barton,31,"$15,625,000","$14,375,000",,,,,Bird,"$30,000,000",Nuggets
Monte Morris,27,"$8,849,071","$9,125,000","$9,800,926",,,,Bird,"$27,774,997",Nuggets
JaMychal Green,32,"$8,200,000",,,,,,Non Bird,"$8,200,000",Nuggets
Michael Porter Jr.,24,"$5,258,735","$29,750,000","$32,130,000","$34,510,000","$36,890,000","$39,270,000",1st Round Pick,"$150,538,735",Nuggets
Jeff Green,35,"$4,500,000","$4,500,000",,,,,MLE,"$9,000,000",Nuggets
Facundo Campazzo,31,"$2,975,000",,,,,,Bi-Annual Exception,"$2,975,000",Nuggets
Zeke Nnaji,21,"$2,498,760","$2,617,800","$4,306,281",,,,1st Round Pick,"$5,116,560",Nuggets
Austin Rivers,29,"$2,401,537",,,,,,Minimum Salary,"$2,401,537",Nuggets
Bones Hyland,21,"$2,096,880","$2,201,400","$2,306,400","$4,158,439",,,1st Round Pick,"$4,298,280",Nuggets
Vlatko Čančar,25,"$1,782,621",,,,,,MLE,"$1,782,621",Nuggets
DeMarcus Cousins,31,"$683,196",,,,,,Minimum Salary,"$1,138,659",Nuggets
Markus Howard,23,,,,,,,Two-Way Contract,,Nuggets
Davon Reed,27,,,,,,,Two-Way Contract,"$286,164",Nuggets
Tim Hardaway Jr.,30,"$21,306,816","$19,602,273","$17,897,728","$16,193,183",,,Bird,"$75,000,000",Mavericks
Spencer Dinwiddie,29,"$17,142,857","$18,000,000","$18,857,143",,,,Sign and Trade,"$45,142,857",Mavericks
Dāvis Bertāns,29,"$16,000,000","$16,000,000","$17,000,000","$16,000,000",,,Bird,"$60,000,000",Mavericks
Dwight Powell,30,"$11,080,125","$11,080,125",,,,,Cap Space,"$22,160,250",Mavericks
Luka Dončić,23,"$10,174,391","$35,700,000","$38,556,000","$41,412,000","$44,268,000","$47,124,000",1st Round Pick,"$217,234,391",Mavericks
Reggie Bullock,31,"$9,536,000","$10,012,800","$10,489,600",,,,MLE,"$25,000,000",Mavericks
Maxi Kleber,30,"$8,750,000","$9,000,000",,,,,Early Bird Rights,"$8,750,000",Mavericks
Dorian Finney-Smith,29,"$4,000,000","$12,402,000","$13,394,160","$14,386,320","$15,378,480",,Bird Rights,"$44,182,480",Mavericks
Boban Marjanović,33,"$3,500,000",,,,,,Early Bird,"$3,500,000",Mavericks
Trey Burke,29,"$3,150,000",,,,,,MLE,"$3,150,000",Mavericks
Sterling Brown,27,"$3,000,000",,,,,,Bi-Annual Exception,"$3,000,000",Mavericks
Josh Green,21,"$2,957,520","$3,098,400","$4,765,339",,,,1st Round Pick,"$6,055,920",Mavericks
Jalen Brunson,25,"$1,802,057",,,,,,Cap Space,"$1,802,057",Mavericks
Frank Ntilikina,23,"$1,789,256","$2,036,318",,,,,Minimum Salary,"$1,789,256",Mavericks
Marquese Chriss,25,"$958,529",,,,,,Minimum Salary,"$1,292,900",Mavericks
Moses Wright,23,,,,,,,Two-Way Contract,,Mavericks
Theo Pinson,26,,,,,,,Two-Way Contract,"$197,076",Mavericks
Moses Brown,22,"$1,701,593",,,,,,,"$1,701,593",Mavericks
Tyrell Terry,21,"$1,517,981","$1,782,621",,,,,,"$3,300,602",Mavericks
Kevin Love,33,"$31,258,256","$28,942,830",,,,,Bird Rights,"$60,201,086",Cavaliers
Jarrett Allen,24,"$20,000,000","$20,000,000","$20,000,000","$20,000,000","$20,000,000",,Bird,"$100,000,000",Cavaliers
